latitude;longitude
3.855.042.047;-1.213.914.158
3.847.350.069;-1.214.901.858
3.865.784.584;-1.214.621.009
3.850.677.377;-1.214.269.508
386.374.478;-1.213.846.125
3.852.697.863;-1.214.513.383
38.537.173;-1.214.875.774
3.856.433.456;-1.214.618.826
386.374.478;-1.213.846.125
3.860.960.217;-1.214.918.375
3.855.426.406;-1.214.546.045
3.852.816.497;-1.214.314.528
3.851.092.155;-1.215.488.201
3.855.611.545;-1.214.142.729
3.850.398.051;-1.213.923.987
3.854.152.896;-1.214.495.097
3.851.657.327;-1.214.234.749
3.858.184.562;-1.215.011.657
3.854.270.763;-1.214.572.067
3.852.459.987;-1.215.203.609
3.844.659.211;-1.214.423.777
3.859.664.183;-121.423.349
3.851.512.387;-1.215.291.027
3.865.660.112;-1.214.560.449
3.844.281.523;-1.214.095.243
385.438.039;-1.214.332.827
3.847.121.906;-1.214.547.389
385.564.521;-1.215.123.309
3.849.535.335;-1.214.965.602
3.864.717.373;-1.214.375.169
3.847.889.498;-1.215.354.477
3.863.734.742;-121.444.642
3.857.289.613;-1.214.767.958
3.851.436.734;-1.213.854.286
3.847.948.616;-1.215.215.057
3.865.994.218;-1.215.259.008
3.860.893.745;-1.215.187.927
3.857.084.621;-121.484.429
3.857.815.667;-1.214.876.958
3.864.378.844;-1.215.341.593
3.862.798.948;-1.214.857.344
3.861.153.542;-1.215.370.613
3.857.999.251;-1.214.930.384
3.859.540.732;-1.214.978.798
3.851.526.387;-1.214.296.507
3.865.737.252;-1.214.577.585
3.852.799.185;-121.434.789
3.856.796.664;-1.214.852.542
3.850.009.398;-1.214.776.262
3.854.138.742;-1.214.282.497
3.849.609.085;-1.214.740.915
3.852.973.955;-1.215.195.294
3.846.637.324;-1.214.265.274
3.851.538.948;-1.215.255.605
3.857.905.906;-1.214.661.967
3.863.036.289;-1.214.755.269
3.850.632.179;-1.214.333.041
3.847.400.047;-1.214.581.933
3.857.724.403;-1.215.051.437
3.857.419.952;-121.470.553
3.857.881.567;-1.214.970.836
3.855.456.463;-1.214.106.138
3.852.199.211;-1.214.309.007
3.862.453.557;-1.215.264.198
3.862.504.428;-1.214.978.986
3.856.984.785;-1.214.737.052
3.846.518.116;-1.214.461.653
384.497.213;-1.214.258.719
3.847.143.667;-121.427.615
3.861.972.226;-1.214.152.799
3.849.570.962;-121.477.826
3.862.070.956;-1.214.226.958
3.861.488.957;-1.214.934.272
3.858.239.328;-1.215.059.336
3.853.116.122;-1.214.661.214
3.860.641.085;-1.214.473.501
3.857.682.477;-1.214.882.896
3.863.207.451;-1.215.287.747
3.860.108.154;-121.456.171
3.847.489.873;-1.214.996.944
3.867.510.292;-1.215.226.753
3.846.594.742;-1.214.513.773
3.851.055.016;-121.409.083
38.570.664;-121.465.448
386.432.324;-1.214.563.115
3.867.318.557;-1.215.035.491
