"X__deprecation_message__"	"ip"	"country_code"	"country_name"	"region_code"	"region_name"	"city"	"zip_code"	"time_zone"	"latitude"	"longitude"	"metro_code"	"servicio"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"216.151.138.152"	"US"	"United States"	"CA"	"California"	"San Jose"	"95134"	"America/Los_Angeles"	37.425	-121.946	807	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"5.167.65.109"	"RU"	"Russia"	"CU"	"Chuvashia"	"Cheboksary"	"428022"	"Europe/Moscow"	56.175	47.2864	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"108.62.58.202"	"US"	"United States"	"WA"	"Washington"	"Seattle"	"98168"	"America/Los_Angeles"	47.4891	-122.2908	819	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"96.47.225.149"	"US"	"United States"	"FL"	"Florida"	"Miami"	"33132"	"America/New_York"	25.7806	-80.1826	528	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"216.151.130.189"	"US"	"United States"	"CA"	"California"	"San Jose"	"95134"	"America/Los_Angeles"	37.425	-121.946	807	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"5.167.69.242"	"RU"	"Russia"	"CU"	"Chuvashia"	"Cheboksary"	"428022"	"Europe/Moscow"	56.175	47.2864	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"96.47.225.66"	"US"	"United States"	"FL"	"Florida"	"Miami"	"33132"	"America/New_York"	25.7806	-80.1826	528	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"108.62.58.17"	"US"	"United States"	"WA"	"Washington"	"Seattle"	"98168"	"America/Los_Angeles"	47.4891	-122.2908	819	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"5.167.69.44"	"RU"	"Russia"	"CU"	"Chuvashia"	"Cheboksary"	"428022"	"Europe/Moscow"	56.175	47.2864	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"216.152.252.43"	"US"	"United States"	"CA"	"California"	"Santa Monica"	"90404"	"America/Los_Angeles"	34.0256	-118.4716	803	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"5.167.64.34"	"RU"	"Russia"	"CU"	"Chuvashia"	"Cheboksary"	"428022"	"Europe/Moscow"	56.175	47.2864	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"5.167.71.245"	"RU"	"Russia"	"CU"	"Chuvashia"	"Cheboksary"	"428022"	"Europe/Moscow"	56.175	47.2864	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"108.62.61.83"	"US"	"United States"	"WA"	"Washington"	"Seattle"	"98168"	"America/Los_Angeles"	47.4891	-122.2908	819	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"108.62.61.198"	"US"	"United States"	"WA"	"Washington"	"Seattle"	"98168"	"America/Los_Angeles"	47.4891	-122.2908	819	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"108.62.60.198"	"US"	"United States"	"WA"	"Washington"	"Seattle"	"98168"	"America/Los_Angeles"	47.4891	-122.2908	819	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"108.62.63.126"	"US"	"United States"	"WA"	"Washington"	"Seattle"	"98168"	"America/Los_Angeles"	47.4891	-122.2908	819	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"108.62.58.66"	"US"	"United States"	"WA"	"Washington"	"Seattle"	"98168"	"America/Los_Angeles"	47.4891	-122.2908	819	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"178.137.16.87"	"UA"	"Ukraine"	"46"	"L'vivs'ka Oblast'"	"Lviv"	"79060"	"Europe/Kiev"	49.8407	24.0305	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"173.234.227.255"	"US"	"United States"	"TX"	"Texas"	"Dallas"	"75207"	"America/Chicago"	32.7825	-96.8207	623	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"173.234.225.183"	"US"	"United States"	"TX"	"Texas"	"Dallas"	"75207"	"America/Chicago"	32.7825	-96.8207	623	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"173.234.225.122"	"US"	"United States"	"TX"	"Texas"	"Dallas"	"75207"	"America/Chicago"	32.7825	-96.8207	623	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"216.151.130.146"	"US"	"United States"	"CA"	"California"	"San Jose"	"95134"	"America/Los_Angeles"	37.425	-121.946	807	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"95.141.17.84"	"IN"	"India"	""	""	""	""	"Asia/Kolkata"	20	77	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"108.62.61.211"	"US"	"United States"	"WA"	"Washington"	"Seattle"	"98168"	"America/Los_Angeles"	47.4891	-122.2908	819	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"5.167.66.31"	"RU"	"Russia"	"CU"	"Chuvashia"	"Cheboksary"	"428022"	"Europe/Moscow"	56.175	47.2864	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"216.151.138.122"	"US"	"United States"	"CA"	"California"	"San Jose"	"95134"	"America/Los_Angeles"	37.425	-121.946	807	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"216.152.249.129"	"US"	"United States"	"CA"	"California"	"Santa Monica"	"90404"	"America/Los_Angeles"	34.0256	-118.4716	803	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"188.143.232.106"	"RU"	"Russia"	"SPE"	"St.-Petersburg"	"St Petersburg"	"190880"	"Europe/Moscow"	59.8944	30.2642	0	"Apache"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"216.152.252.38"	"US"	"United States"	"CA"	"California"	"Santa Monica"	"90404"	"America/Los_Angeles"	34.0256	-118.4716	803	"Apache"
